id,prior_position,prior_time,prior:smax_gaussian,prior:convolved_data,prior:estimated_data,integrand:TotalIntegrand,integrand:FlowIntegrand
12_r1,-20.69802474975586,1.0,-5.211148738861084,-5.21066951751709,-5.211012363433838,1.1518717,1.4497302
13_r1,118.84447479248047,1.0,-6.608659267425537,-6.595810890197754,-6.608941078186035,2.123013,1.6600114
14_r1,-9.744132995605469,1.0,-5.177122116088867,-5.1802592277526855,-5.176975727081299,1.2368096,1.8722652
15_r1,-24.085586547851562,1.0,-5.226629257202148,-5.224981307983398,-5.226497173309326,0.72119343,1.3714851
16_r1,85.12173461914062,1.0,-5.906791687011719,-5.908864974975586,-5.906863689422607,0.74331653,0.897206
17_r1,-18.953166961669922,1.0,-5.204089164733887,-5.204204559326172,-5.20395040512085,1.2487701,1.3803655
18_r1,123.07586669921875,1.0,-6.713114261627197,-6.6982550621032715,-6.713427543640137,2.929839,1.3978344
19_r1,75.79780578613281,1.0,-5.753689765930176,-5.758983612060547,-5.753715515136719,1.2939398,1.2849233
20_r1,-73.3446273803711,1.0,-5.716355800628662,-5.70066499710083,-5.716370582580566,-0.20110029,1.5725793
21_r1,-59.46106719970703,1.0,-5.5282111167907715,-5.515242576599121,-5.528169631958008,1.018189,1.4347864
22_r1,-81.79368591308594,1.0,-5.8501081466674805,-5.83363151550293,-5.850162506103516,1.1277577,1.5979189
23_r1,8.796031951904297,1.0,-5.175328731536865,-5.183505535125732,-5.1751813888549805,1.1468675,1.2707204
24_r1,-21.857107162475586,1.0,-5.216182231903076,-5.215304374694824,-5.2160468101501465,0.8088421,0.8218731
25_r1,0.29541730880737305,1.0,-5.167442798614502,-5.173525333404541,-5.167293071746826,0.33998948,1.3585813
26_r1,-62.027984619140625,1.0,-5.560032844543457,-5.546447277069092,-5.560000896453857,1.8780903,0.88672036
27_r1,-71.61689758300781,1.0,-5.690799236297607,-5.675358295440674,-5.690805912017822,1.8290414,1.5094525
28_r1,39.63340377807617,1.0,-5.3277201652526855,-5.339210510253906,-5.327618598937988,1.2431672,1.5532149
29_r1,26.508230209350586,1.0,-5.239136219024658,-5.250131607055664,-5.239007949829102,-1.0531783,1.6349547
30_r1,33.745479583740234,1.0,-5.283633708953857,-5.29508113861084,-5.2835187911987305,-0.07694113,0.32665804
31_r1,-58.92047882080078,1.0,-5.52168083190918,-5.508847713470459,-5.521637439727783,1.037226,0.38009757
32_r1,15.379718780517578,1.0,-5.191569805145264,-5.201058864593506,-5.191427707672119,-0.120585516,0.016074933
33_r1,-131.02748107910156,1.0,-6.919291019439697,-6.918375015258789,-6.919666290283203,1.9058942,0.4763847
34_r1,-65.55203247070312,1.0,-5.605910301208496,-5.591556072235107,-5.605891704559326,0.9951649,0.23216677
35_r1,-1.4934654235839844,1.0,-5.167661190032959,-5.173252582550049,-5.167511463165283,-0.89639467,1.2489759
36_r1,16.147865295410156,1.0,-5.1940412521362305,-5.2036638259887695,-5.193899631500244,-0.15451968,0.13120359
37_r1,17.4737491607666,1.0,-5.198590278625488,-5.208433628082275,-5.198449611663818,0.79842234,1.0084848
38_r1,36.535282135009766,1.0,-5.303640365600586,-5.315145015716553,-5.303531646728516,0.8597316,1.00004
39_r1,-25.800148010253906,1.0,-5.23535680770874,-5.233113765716553,-5.235227584838867,1.3874143,1.2709324
40_r1,-31.534618377685547,1.0,-5.268906593322754,-5.264664173126221,-5.268786907196045,1.080544,1.429548
41_r1,43.30228042602539,1.0,-5.358769416809082,-5.3701348304748535,-5.358676910400391,1.4297819,1.3854706
42_r1,150.86093139648438,1.0,-7.489782810211182,-7.46298885345459,-7.490328788757324,1.9437118,1.6992518
43_r1,117.77670288085938,1.0,-6.5828776359558105,-6.57053804397583,-6.583151817321777,0.3004527,-0.25724298
44_r1,77.65176391601562,1.0,-5.782719135284424,-5.787417888641357,-5.7827534675598145,1.7474043,1.4112635
45_r1,-1.4321495294570923,1.0,-5.167643070220947,-5.173251628875732,-5.1674933433532715,0.66393775,1.3448153
46_r1,-22.81134033203125,1.0,-5.220531463623047,-5.219324588775635,-5.220397472381592,0.20175423,1.6836145
47_r1,-69.97254180908203,1.0,-5.667041778564453,-5.651864051818848,-5.667041301727295,1.6244359,1.6190001
48_r1,14.933536529541016,1.0,-5.190189838409424,-5.199599266052246,-5.190046787261963,0.794764,0.6061245
49_r1,-244.23709106445312,1.0,-11.254347801208496,-11.50568675994873,-11.256021499633789,7.5372353,2.0014825
50_r1,65.00407409667969,1.0,-5.5986104011535645,-5.60687255859375,-5.598589897155762,-1.2972139,1.3878815
51_r1,2.046901226043701,1.0,-5.167861461639404,-5.174408912658691,-5.1677117347717285,1.5205224,0.94422376
52_r1,-93.99254608154297,1.0,-6.068923473358154,-6.052785396575928,-6.0690436363220215,0.35350794,1.7792248
53_r1,-11.27890682220459,1.0,-5.18041467666626,-5.183064937591553,-5.18026876449585,1.2349879,0.989473
54_r1,-51.171504974365234,1.0,-5.434629917144775,-5.423929691314697,-5.434560298919678,1.6112779,1.3939989
55_r1,-5.8252739906311035,1.0,-5.170896530151367,-5.175234794616699,-5.170747756958008,0.34372464,1.6122776
56_r1,-37.026771545410156,1.0,-5.3073296546936035,-5.301190376281738,-5.30722188949585,0.2664108,0.6307857
57_r1,91.6070556640625,1.0,-6.023745059967041,-6.02327299118042,-6.0238518714904785,2.061979,0.83359516
58_r1,249.3092803955078,1.0,-11.50979232788086,-11.518348693847656,-11.511543273925781,6.700127,1.8550407
